Timestamp,How old are you?,What industry is your employer in?,What is the functional area of your job (this might be different from your company's industry)?,Job title,"If your job title needs additional context, please clarify here:","What is your annual salary? This should be your GROSS (pre-tax) income. (You'll indicate the currency in a later question.) If you are part-time or hourly, please enter an annualized equivalent -- what you would earn if you worked the job 40 hours a week, 52 weeks a year.","How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Only include monetary compensation here, not the value of benefits, tuition reimbursement, etc. If your bonus or overtime varies from year to year, use the most recent figures.",Please indicate the currency,"If ""Other,"" please indicate the currency here: ","If your income needs additional context, please provide it here:",What country do you work in? (Countries listed had by far the largest representation last year. Please write in your country if it's not listed.),"If you're in the U.S., what state do you work in?",What city/region do you work in?,Are you remote or on-site?,Is your job unionized?,How many years of professional work experience do you have overall?,How many years of professional work experience do you have in your field?,What is your highest level of education completed?,What is your gender?,What is your race? (Choose all that apply.),,,,,,
4-9-2024 11:04:49,35-44,Health care,Health care,Laboratory assistant,,42000,0,USD,,,United States,Michigan,Detroit,On-site,No,21-30 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:51,35-44,Education (Higher Education),Computing or Tech,Information Security Engineer III,,106690,0,USD,,,United States,Massachusetts,Boston,Fully remote,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:54,55-64,Health care,Health care,Physical Therapist ,,100000,0,USD,,Non management ,United States,Oregon,Portland ,On-site,No,31-40 years,31-40 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 11:04:54,35-44,Government & Public Administration,Law,Principal Court Analyst,project manager for court support unit with focus on legal information,96500,0,USD,,,United States,New York,Albany,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:55,55-64,Government & Public Administration,Government & Public Administration,Data entry clerk,,45000,,USD,,,United States,Minnesota,St Paul ,Fully remote,Yes,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:56,45-54,Engineering,Administration,Administrative assistant ,,47840,3500,USD,,,United States,Arizona,Phoenix ,On-site,No,21-30 years,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-9-2024 11:04:58,25-34,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Archivist,,103000,0,USD,,"Federal pay scale, GS12",United States,District of Columbia,"Washington, D.C.",Hybrid,Yes,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:04:58,25-34,Engineering,Manufacturing,Intermediate Engineer,,95000,4000,USD,,,United States,Colorado,Denver Metro,Hybrid,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:58,35-44,Utilities & Telecommunications,Administration,Business Analyst,Strategic Planning,88000,0000,USD,,,United States,Michigan,Lansing,Hybrid,No,11-20 years,2-4 years,College degree,Woman,White,,,,,,
4-9-2024 11:04:58,25-34,Computing or Tech,Sales,Senior Customer Success Manager,,145000,,USD,,,United States,Oregon,Bend/Central Oregon,Fully remote,No,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:05:00,25-34,Government & Public Administration,Computing or Tech,Business Automation Specialist,,85000,,USD,,,United States,Wisconsin,Milwaukee,Fully remote,No,2-4 years,2-4 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:00,25-34,Health care,Administration,Administrative Assistant ,,61000,,CAD,,,Canada,,Edmonton ,Hybrid,No,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:05:01,35-44,Nonprofits,"Accounting, Banking & Finance",Gift Processing Manager,,72000,,USD,,,United States,Virginia,Arlington,Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:03,35-44,Government & Public Administration,Utilities & Telecommunications,Stormwater Manager,,103000,0,USD,,,United States,Washington,Greater Seattle area,On-site,No,11-20 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 11:05:06,25-34,Education (Higher Education),Science,Postdoctoral Associate,,65000,,USD,,,United States,Massachusetts,Boston,On-site,No,8-10 years,8-10 years,Doctorate,Woman,White,,,,,,
4-9-2024 11:05:08,25-34,Entertainment,Engineering,Senior QA,,115000,,USD,,,United States,Illinois,Chicago,Fully remote,No,8-10 years,5-7 years,Master's degree,Man,White,,,,,,
4-9-2024 11:05:10,25-34,Government & Public Administration,Social Work,Youth and Family Clinician (Outpatient Therapist),,84000,0,USD,,,United States,Virginia,Richmond,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:11,35-44,Computing or Tech,Computing or Tech,Software Developer,,105000,,USD,,,United States,Delaware,Wilmington/Newark,Fully remote,No,21-30 years,11-20 years,College degree,Woman,White,,,,,,
4-9-2024 11:05:14,25-34,Law,Law,Project Manager,4 day schedule,107625,4000,USD,,,United States,Washington,Seattle,Fully remote,No,5-7 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:05:18,45-54,Education (Higher Education),Education (Higher Education),Lecturer II,,89000,,USD,,,United States,Massachusetts,Cambridge / Boston,Hybrid,No,11-20 years,11-20 years,Doctorate,Woman,White,,,,,,
4-9-2024 11:05:18,45-54,Government & Public Administration,Insurance,Manager,,75657,12825,GBP,,,United Kingdom,,London ,Hybrid,Yes,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 11:05:18,25-34,Food Service,Communications,Communications Assistant,,47125,,EUR,,,Ireland,,Dublin,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:19,35-44,Social Work,Health care,Social Worker,,93748,,CAD,,,Canada,,Toronto,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:20,35-44,Education (Higher Education),Communications,associate director of communications,,90800,,USD,,,United States,Colorado,Boulder,Hybrid,No,21-30 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:20,25-34,Aerospace & Defense,Aerospace & Defense,Geospatial Technician,Geospatial data analyst/maintainer,87000,5000,USD,,,United States,Washington,Seattle,Fully remote,No,8-10 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:20,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Acquisitions Registrar,I work with incoming gifts and purchases at a larger museum,61000,0,USD,,,United States,Minnesota,Minneapolis/St. Paul,On-site,Yes,11-20 years,8-10 years,College degree,Woman,White,,,,,,
4-9-2024 11:05:21,25-34,Computing or Tech,Computing or Tech,Senior Data Scientist,,412000,20000,USD,,,United States,California,San Francisco,Hybrid,No,2-4 years,2-4 years,Doctorate,Woman,Asian or Asian American,,,,,,
4-9-2024 11:05:22,35-44,Education (Higher Education),Administration,Assistant Director Recruitment,admissions & enrollment,55000,0,USD,,it is low for the area of work & current overall market,United States,Illinois,Chicago,Hybrid,No,11-20 years,11-20 years,Master's degree,Man,White,,,,,,
4-9-2024 11:05:24,35-44,Manufacturing,Product Management,Product Manager,,95500,14000,USD,,,United States,Connecticut,Hartford,Hybrid,No,11-20 years,2-4 years,Master's degree,Man,White,,,,,,
4-9-2024 11:05:25,45-54,Law,Law,General Counsel,,180000,0,USD,,,United States,Virginia,Richmond,Hybrid,No,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White,,,,,,
4-9-2024 11:05:26,55-64,Publishing,Managing Editor,Executive Editor,,55000,0,CAD,,,Canada,,"Winnipeg, Manitoba",Other/it's complicated,No,31-40 years,11-20 years,Associate's degree,Man,White,,,,,,
4-9-2024 11:05:26,25-34,Nonprofits,Social Work,Project officer,,24000,,EUR,,,France,,Paris,Hybrid,,5-7 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:30,25-34,Education (Primary/Secondary),Education (Primary/Secondary),8th Grade English Teacher,,69500,500,USD,,,United States,New York,NYC,On-site,No,8-10 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:32,55-64,Education (Higher Education),"Accounting, Banking & Finance",financial assistant II,,59924,,USD,,,United States,Massachusetts,Boston MA/New England,On-site,No,21-30 years,2-4 years,Master's degree,Woman,"White, Another option not listed here or prefer not to answer",,,,,,
4-9-2024 11:05:32,25-34,Manufacturing,Supply Chain Management,Stock and Data Integrity Manager,Managing stock across UK sites and Supply Chain data (part numbers and part number maintenance),43000,0,GBP,,,United Kingdom,,Oxfordshire,Hybrid,No,8-10 years,5-7 years,College degree,Woman,White,,,,,,
4-9-2024 11:05:34,35-44,"Accounting, Banking & Finance",Computing or Tech,Learning Technology Manager,,79000,7900,USD,,,United States,South Carolina,Greenville,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,,,,
4-9-2024 11:05:34,55-64,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Library Associate 1,,53430,0,USD,,,United States,Ohio,Northwest Ohio,Hybrid,,21-30 years,11-20 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:35,35-44,Manufacturing,"Accounting, Banking & Finance",Accounting Manager,,85000,7500,USD,,,United States,Massachusetts,Northampton,On-site,No,8-10 years,2-4 years,Some college,Woman,White,,,,,,
4-9-2024 11:05:39,25-34,Nonprofits,Communications,B2B Social Media and Communications Specialist,,75000,2000,USD,,,United States,Massachusetts,Boston,Hybrid,No,5-7 years,5-7 years,College degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin",,,,,,
4-9-2024 11:05:39,25-34,Retail,Transport or Logistics,associate/notary,UPS store,45000,,USD,,,United States,California,San Francisco,On-site,No,2-4 years,2-4 years,College degree,"Non-binary, Other or prefer not to answer",White,,,,,,
4-9-2024 11:05:42,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Research Director,"Probably best to lump it in with ""curator"" although they're separate jobs at my workplace",62000,1000,USD,,,United States,Massachusetts,Boston,On-site,No,11-20 years,11-20 years,Master's degree,"Woman, Non-binary",White,,,,,,
4-9-2024 11:05:43,65 or over,Computing or Tech,Computing or Tech,Scrum Master,,129000,5000,USD,,,United States,Pennsylvania,Pittsburgh,Fully remote,No,31-40 years,31-40 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:43,35-44,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Digital Access Manager,Archivist,59200,,USD,,,United States,North Carolina,Raleigh,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:43,25-34,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Archivist,,57000,,CAD,,,Canada,,Canadian prairie province,On-site,Yes,8-10 years,5-7 years,Master's degree,Woman,White,,,,,,
4-9-2024 11:05:46,55-64,Manufacturing,Engineering,Chief Metallurgist,,133000,13300,USD,,,United States,Ohio,Shelby,On-site,No,31-40 years,31-40 years,Master's degree,Woman,White,,,,,,
